id	sent1	sent2	label
527	كان الطيار يحلق بالطائرة	الطيار كان يقود الدراجة	1
528	لقد وضعت زرافة في الثلاجة.	وضع تفاحة في الثلاجة	0
529	تحتاج السيارة إلى أربع عجلات وخلاط ليكون قياسيًا.	تحتاج السيارة إلى أربع عجلات ومحرك حتى تكون قياسية.	0
530	أنجب الزوجان كلبًا حديثًا	أنجب الزوجان حديثًا طفلًا رضيعًا	0
531	أمر الرئيس الجيش للهجوم	أمر الجيش الرئيس بالهجوم	1
532	رجل يشرب الويسكي في المستشفى	رجل يشرب الويسكي في حانة	0
533	كانوا يلعبون كرة القدم في الأرض	كانوا يلعبون كرة القدم في الثلاجة	1
534	أنفي محشو بلحم الخنزير.	أنفي محشو بالبوغرز.	0
535	تغسل شعرها كل يوم بشامبو معتدل	تغسل شعرها كل يوم بزيت شعر خفيف	1
536	شربت الهواء من زجاجة المياه	شربت الماء من زجاجة المياه	0
537	بما أن صديقي مدمن على الكحول ، فإنه تشرب المشروبات الغازية فقط في المطاعم.	بما أن صديقي مدمن على الكحول ، فإنه تشرب النبيذ فقط في المطاعم.	1
538	ذهب إلى المسرح لمشاهدة الفيلم	ذهب إلى الخوذة لمشاهدة الفيلم	1
539	صنع العدسات اللاصقة الحقيقية بالعصي المتطابقة	لقد صنع طائرة نموذجية بعصي ثقاب	0
540	ركض القط الصغير عبر الشمس.	ركض القط الصغير في الأدغال.	0
541	يمكن أن يحرق البارود لساعات	يمكن أن تحترق الشمعة لساعات.	0
542	وضعت الآيس كريم في الثلاجة	وضعت التمساح في الثلاجة	1
543	أرادت ستايسي الحصول على بعض المتعة ، لذلك ذهبت إلى الكنيسة	أرادت ستايسي الحصول على بعض المتعة ، لذلك خرجت إلى النادي	0
544	تستخدم الأسلحة في الزواج	تستخدم الأسلحة في الحرب	0
545	ذهب توم إلى مقابلة العمل لأنه أراد المال	ذهب توم إلى مقابلة العمل لأنه أراد الحساء	1
546	سحب القلم من البنك	سحب النقود من البنك	0
547	سأكون في النادي غدًا قبل الولادة.	سأكون في المستشفى غدًا قبل الولادة.	0
548	أودع المال في البنك	أودع المال في المطعم	1
549	جداري أمريكي من أصل أفريقي.	جداري أبيض.	0
550	مكتبة تحتوي على أطنان من أرفف الكتب	مكتبة تحتوي على طن من المشروبات	1
551	فاز الرجل في الانتخابات	فاز الأسد في الانتخابات	1
552	الكلاب تحب أكل الخضار	الكلاب تحب أكل النقانق	0
553	قادت سيارتها حول السوبر ماركت لجمع الأغراض من البقالة	دفعت عربتها حول السوبر ماركت لجمع الأغراض من البقالة	0
554	كتب رسالة إلى زوجته على موقد	كتب رسالة إلى زوجته على الورق	0
555	كتب على ورقة بقلم	استخدم ممحاة للكتابة في ورقة	1
556	قتلت الغزلان عندما ذهبت للصيد.	قتلت أخطبوط عندما ذهبت للصيد.	1
557	تجد الخشب في الدموع	تجد الماء في الدموع	0
558	أشتري الحليب وأضعه في الثلاجة.	أشتري مناشف ورقية وأضعها في الثلاجة.	1
559	النحام هو نوع من الطيور	الأسد هو نوع من الطيور	1
560	كان يلعب الألعاب على جهاز الكمبيوتر الخاص به	كان يلعب الألعاب على سماعات الرأس	1
561	يجب على رافع الأثقال أن يكون مؤهلاً لرفع الأثقال.	لا يستخدم رافعو الأثقال الأوزان عند الرفع.	1
562	تقطع الطيور مسافات طويلة.	يمكن أن يطير الدجاج لمسافات طويلة	1
563	نقوم بتشغيل المكيف لتبريد أنفسنا.	نشغل المكيف لأننا نحب الضغط على الأزرار.	1
564	جز العشب في الصباح.	هو قص السيارة في الصباح.	1
565	لقد وضعت هندياً في الفرن.	لقد وضعت فطيرة في الفرن.	0
566	ركلت الكرة في الشارع.	ركل الشارع الكرة إلى أسفل.	1
567	أحضر النادل ملعقة فضية لتناول الطعام.	أحضر النادل دجاجة مشوية لتناول الطعام.	0
568	استخدم ملابس دافئة للتزلج	استخدم ملابس دافئة للحمامات الشمسية	1
569	كان الكلب يركض في السماء	كان الكلب يركض	0
570	قطتي كبيرة مثل الفيل.	قطتي جميلة.	0
571	تلوث السيارات الهجينة الكثير في المدينة	السيارات الهجينة تلوث القليل في المدينة	0
572	التفاح ينمو على الأشجار.	ينمو الذرة على الأشجار.	1
573	لديها حيوان ذئب يسمى المافن	لديها حيوان أليف القطط يسمى المافن	0
574	التحق ما مجموعه 2000 طالب في جامعة بورتسموث هذا العام.	التحق ما مجموعه 2000 أسود بجامعة بورتسموث هذا العام.	1
575	إنه يوم التونة.	اليوم هو الجمعة.	0
576	ذهب إلى السوبر ماركت لشراء الآباء	ذهب إلى السوبر ماركت لشراء البقالة	0
577	نظرت الى المرآة.	دخلت داخل المرآة.	1
578	يشاهد التلفاز يوميا	يشاهده التلفزيون يوميا	1
579	عادة ما يتم الاحتفاظ بالقطط كالكلاب.	عادة ما يتم الاحتفاظ بالقطط كحيوانات أليفة.	0
580	كوب ساخن من القهوة هو طريقة رائعة للنوم.	كوب ساخن من القهوة هو طريقة رائعة لبدء اليوم.	0
581	الفتاة تركب الكلب.	الفتاة تمشي مع الكلب.	0
582	الصراصير حشرات بيضاء	الصراصير حشرات سوداء	0
583	إذا كنت ترغب في الذهاب للتسوق ، فيجب عليك الذهاب إلى مركز تسوق	إذا كنت ترغب في الذهاب للتسوق ، فيجب عليك الذهاب إلى قسم الشرطة	1
584	أول شيء يفعله الناس عادة في الصباح هو تناول قدر مشوي	أول شيء يفعله الناس عادة في الصباح هو تناول وجبة الإفطار	0
585	يحتاج إلى إغلاق عينيه للتوقف عن الكلام.	يحتاج لإغلاق فمه للتوقف عن الكلام.	0
586	قامت صديقي بتمشيط شعرها بفرشاة.	قامت صديقي بتمشيط شعرها بسكين.	1
587	الفتاة لديها بشرة زرقاء شديدة في الأماكن العامة.	تشعر الفتاة بالقلق الشديد في الأماكن العامة.	0
588	يقدم أعضاء مجلس الشيوخ المشروبات للعملاء المتعطشين.	يقدم السقاة المشروبات للعملاء المتعطشين.	0
589	العشب أخضر عندما تمطر.	العشب أرجواني عندما تمطر.	1
590	أكل الطفل الصغير الشجرة.	تسلق الصبي الشجرة.	0
591	لدي سيارة طيران.	لدي السيارة	0
592	هناك حاجة إلى مفتاح السيارة لتشغيل السيارة	هناك حاجة إلى مكشطة ثلج لتشغيل السيارة	1
593	أحتفظ ببقرة على الرف	احتفظ بكتاب على الرف	0
594	لطهي المعكرونة تحتاج السم.	لطهي المعكرونة ، تحتاج إلى قدر وماء وموقد.	0
595	كان هناك حصان يهسهس في ثعبان.	كان هناك ثعبان يهسهس على حصان.	0
596	لا يوجد أي يوم أحد في شهر يوليو	هناك سبعة أيام في الإسبوع	0
597	يمكنك تعلم التحدث بالعديد من اللغات إذا كنت تمارسها يوميًا.	يمكنك وضع الفاصوليا في علبة إذا قمت بسحقها في الليل.	1
598	إذا كنت ترغب في الحصول على شيء فعليك شرائه.	إذا كنت تريد أن تعطي شيئًا يجب عليك تدميره.	1
599	في بعض الأحيان يسبب شرب الكحول الحوادث	في بعض الأحيان يساعد شرب الكحول على التركيز في القيادة	1
600	بو هو ما يقوله الشبح في يوم العمل.	بو هو ما يقوله شبح عن عيد الهالوين.	0
601	الرئتين في الرأس	الدماغ في الرأس	0
602	يحتوي الماء على الكحول	تحتوي البيرة على الكحول	0
603	يمكنك العثور على القلم والورق في المكتب.	يمكنك العثور على قلم وورقة في الحمام.	1
604	البرتقال مستدير ، وعصير وحلو.	البرتقال بنفسجي ، جاف و حلو.	1
605	فتح الباب بالمفتاح	فتح الباب بالقلم	1
606	رأيت طفلا يحمل رجلا.	رأيت رجلاً يحمل طفلاً.	0
607	إنه يقود الشجرة	إنه يقود السيارة	0
608	يزرع المال في الحقول	يزرع الأرز في الحقول	0
609	أكل هامبرغر كبير	أكل بسكين كبير	1
610	جمعت الحجارة لبناء نار	جمعت الغابة لبناء نار	0
611	يضع الطلاء في فمه	يضع الطلاء على جسده.	0
612	توم يأكل الجريدة.	توم يقرأ الصحيفة.	0
613	الكلاب هي حيوانات طويلة.	الزراف حيوانات طويلة.	0
614	يمكنك تعليق صورة تضعها في إطار	يمكنك تعليق صورة تضعها في كتلة خرسانية	1
615	ذهبت المدرسة إلى السجن.	ذهبت المدرسة إلى حديقة الحيوان.	0
616	الملك زوج للملكات.	الملك حيوان أليف للملكات.	1
617	الجبل أعلى من الوادي	الشاطئ أعلى من الوادي	1
618	البسكويت هي حلوى محبوبة.	الكرفس حلوى محبوبة.	1
619	قام بغلي الماء على الثلاجة	قام بغلي الماء على موقد	0
620	معطف مصنوع من الصوف	معطف مصنوع من الورق	1
621	أنت بحاجة إلى صانع الوافل لتتصل بشخص ما.	أنت بحاجة إلى هاتف للاتصال بشخص ما.	0
622	يسافر الناس على متن الطائرات للسفر بعيدًا في وقت قصير	الناس يركبون الدراجات للسفر بعيدًا في وقت قصير	1
623	ذهب الكلب داخل علبة طعام الكلب.	أكل الكلب علبة من طعام الكلب.	0
624	وضعت كوبرا في حقيبة يدها	احتفظت بهاتف محمول في حقيبة يدها	0
625	يمكن للناس ركوب الماعز في الصيف	يمكن للناس ركوب الدراجة في الصيف	0
626	أخذ دراجته إلى الطبيب لإصلاحها	أخذ دراجته إلى الميكانيكي لإصلاحها	0
627	كان هناك منزل مصنوع من الطوب.	كان هناك منزل مصنوع من الورق.	1
628	وضعت لينا سمكة في محمصة الخبز.	تضع لينا الخبز في محمصة الخبز.	0
629	كان هناك نسر يطير في السماء.	كان هناك حوت يطير في السماء.	1
630	فركت القمامة على وجهها.	قامت بوضع ماكياج على وجهها.	0
631	ذهب إلى مختبر العلوم للعب الكريكيت	ذهب إلى مختبر العلوم لإجراء تجربة	0
632	تأخذ الأسرة إجازة عائلية إلى الفضاء.	تأخذ الأسرة إجازة عائلية على الشاطئ.	0
633	التدخين يصيب بالسرطان.	السرطان يسبب التدخين	1
634	ريان يتصل بأمه على الهاتف.	ريان يتصل بأمه على الراديو.	1
635	يمكن إطفاء الحريق باستخدام الماء.	يمكن إطفاء الحريق باستخدام الخشب.	1
636	درجة الحرارة مرتفعة في أفريقيا.	درجة الحرارة مرتفعة في القارة القطبية الجنوبية.	1
637	كانت تأكل الآيس كريم	كانت تأكل كرسي	1
638	تناول العشاء في مطعم	تناول العشاء في مغسلة	1
639	لكي تكون بصحة جيدة ، يجب عليك التأكد من إعطاء شخص ما الخضار كل يوم.	لكي تكون بصحة جيدة ، يجب التأكد من الحصول على الخضار كل يوم.	0
640	يمضغ الصبي بسعادة قطعة من الزجاج.	يمضغ الصبي بسعادة قطعة من العلكة.	0
641	تذهب طيران الى المسبح.	تذهب للسباحة في المسبح.	0
642	الأوبرا هي نوع من الحفلات	الأوبرا هي نوع من الترفيه	0
643	اتصلت أنجيلا بالإعلانات لأنها كانت في خطر	اتصلت أنجيلا بالشرطة لأنها كانت في خطر	0
644	تناولنا منزلا على الغداء.	تناولنا البيتزا على الغداء.	0
645	كان هناك صرصور داخل العلبة.	كان هناك فيل داخل العلبة.	1
646	جزء من المشي في آلة التحميص تقوم  بالتنظيف بعدهم.	جزء من المشي كلب ينظف بعدهم.	0
647	يصنع لوحة جميلة.	وضع مروحة كهربائية على الرسم.	1
648	الشمس تجعل الأرض باردة	تجعل الشمس الأرض دافئة	0
649	الصبي يرمي كرة القدم.	الصبي يرمي خنزير.	1
650	الشريط مفيد عندما يكون لديك مشكلة في النظافة.	الحمام مفيد عندما يكون لديك مشكلة في النظافة.	0
651	ثعباني يستمتع بالغناء في الحمام.	تستمتع زوجتي بالغناء في الحمام.	0
652	تحب أن تأكل قارب.	إنها تحب تناول الطعام.	0
653	يمكنك العثور على الطوب في متجر البقالة	يمكنك العثور على الشوكولاتة في متجر البقالة	0
654	ستجد السفن في المطار	ستجد الطائرات في المطار	0
655	ماتت من لمسة إصبع.	ماتت من طلق ناري.	0
656	تجد الطلاب في المدرسة	تجد الفئران في المدرسة	1
657	عموما ينام الناس خلال الليل	عموما ينام الناس خلال النهار	1
658	عادة ما تكون الوحدة بمفردها مضحكة جدًا للكلاب	عادة ما يكون الذهاب إلى الحديقة مضحكًا جدًا للكلاب	0
659	غالبًا ما يقرأ الراكون الكتب المصورة.	غالبًا ما يقرأ الأطفال الكتب المصورة.	0
660	ذهب للصيد في النهر وصاد سمكة واحدة	ذهب لصيد السمك في نهر وأمسك نمر واحد	1
661	لاعبو الغولف يلعبون الرياضة	لاعبو الغولف يلعبون الجولف	0
662	يمكنك إيقاف دراجة نارية في موقف للسيارات	يمكنك إيقاف الشاحنة في موقف للسيارات	1
663	هوايتها المفضلة هي السباحة في حديقة التزلج.	هوايتها المفضلة هي السباحة في المسبح.	0
664	ركل سندان في القائم.	ركل الكرة في القائم.	0
665	وجه شرطي بندقيته نحو لص وأطلق رصاصة	وجه شرطي بندقيته نحو لص وأطلق صخرة	1
666	كان هناك عملاق في حديقة الحيوان.	كان هناك فيل في حديقة الحيوانات.	0
667	قاد جون سيارته إلى المتجر بعد العشاء	قاد جون سيارته إلى القمر بعد العشاء	1
668	جميع الأنهار من الجبال	جميع الجبال في النهر	1
669	المرأة تطير في منطاد الهواء الساخن	المرأة تطير في صندوق.	1
670	المال هو طلب مرتفع للعيش.	المال هو طلب منخفض للعيش.	1
671	اعتقل الطبيب المجرم	اعتقلت الشرطة المجرم	0
672	ذهبت إلى المستشفى لألتقط وصفة لعيني.	ذهبت إلى السينما لألتقط وصفة لعيني.	1
673	آخر شيء تفعله عندما تذهب لمشاهدة فيلم هو العودة إلى المنزل.	آخر شيء تفعله عندما تذهب لمشاهدة فيلم هو شراء الفشار.	1
674	يحتاج للعب بجد لاجتياز الامتحان	يحتاج للدراسة بجد لاجتياز الامتحان	0
675	ملأ الماء في زجاجة	ملأ الماء بقلم	1
676	طهي وصفة رآها على الفرن	طهي وصفة التي شاهدها على شاشة التلفزيون	0
677	أكلت الفتاة الأماس.	أكلت الفتاة عميد.	0
678	وضع ذبابة في الثلاجة.	وضع الديك الرومي في الثلاجة.	0
679	يمكنك أن تقود سيارتك إلى متحف	يمكنك أن تقود سيارتك إلى قارب	1
680	خلال جنود الحرب بدأ إرسال الرسائل النصية إلى العدو	خلال جنود الحرب بدأوا بإطلاق الرصاص على العدو	0
681	استمرت سيارته في السخونة الزائدة لذا أحضرها إلى ميكانيكيه.	استمرت سيارته في الرقص حتى أحضرها إلى ميكانيكيه.	1
682	قبل قيادة السيارة يجب أن تحصل على رخصة.	قبل قيادة السيارة عليك أن تشرب الكثير من الكحول	1
683	نتناول العشاء بعد الظهر	نتناول العشاء في الليل	0
684	تركت كلبها يقود سيارتها	تركت زوجها يقود سيارتها	0
685	جون لديه نمر للحيوانات الاليفة	جون لديها قطة أليفة	0
686	إذا كنت تريد الإبحار في البحر فأنت بحاجة إلى قارب	إذا كنت تريد الإبحار في البحر فأنت بحاجة إلى دراجة نارية	1
687	يمكنك الذهاب للسباحة في ملعب كرة السلة	يمكنك الذهاب للسباحة في المسبح	0
688	ذهبت إلى السينما لمشاهدة فيلم جديد.	ذهبت إلى الطاووس لمشاهدة فيلم جديد.	1
689	كان يقود السيارة على البحر	كان يقود السيارة على الطريق	0
690	الرياضة طريقة رائعة لمقابلة أشخاص جدد.	الرياضة طريقة رائعة لخلق الناس	1
691	العض على الكمبيوتر أمر سهل.	الكتابة على الكمبيوتر سهلة.	0
692	الأجانب يكتبون الكتب	النساء يكتبن الكتب	0
693	قتل رجلاً بحلوى قطنية.	قتل رجلاً بمسدس.	0
694	شرب بئر ماء	شرب كوب من الماء	0
695	موسيقى البانك هي كل شيء عن موشينغ.	الموسيقى الكلاسيكية هي كل شيء عن موشينغ.	1
696	نظفت سوزي منزلها بشحم الخنزير	نظفت سوزي منزلها بالمنظف	0
697	ذهب لاعب الجولف إلى حفرة الجولف	دخلت كرة الجولف حفرة الجولف	0
698	لقد استخدمت عصا لقطع الأسماك	استخدمت السكين لقطع الأسماك	0
699	يركب ترافيس دراجته إلى المدرسة.	يركب ترافيس قطته إلى المدرسة.	1
700	يفتح متجره كل يوم ويبدأ في رمي التراب على الأرض	يفتح متجره كل يوم ويبدأ في كتابة القائمة الحالية على لوح الطباشير.	0
701	يخبز الآيس كريم في فرن.	تُخبز الكعكة في فرن.	0
702	راكب الدراجة النارية يضع البنزين في خزان الدراجة	راكب الدراجة النارية يضع السائل في خزان الدراجة	1
703	قام بغلي الماء للشرب	قام بغلي البنزين للشرب	1
704	يقود صاروخ في الطريق	يقود سيارة في الطريق	0
705	تكساس دولة صغيرة.	تكساس ولاية كبيرة	0
706	سيارة متوقفة في المرآب.	هبطت طائرة في المرآب.	1
707	القارب في الوحل.	القارب في البركة.	0
708	طهي سباقتي في مطبخه	طهي سباقتي في عيادته	1
709	يجب أن تتنقل بسيارتك على الطريق	يجب عليك التنقل كمشاة على الطريق	1
710	وضع السمك على الكرسي.	سقط عن الكرسي.	0
711	الحمامات مجهزة بقصب الحلوى.	الحمامات مجهزة بمرايا.	0
712	شيء ستجده في حديقة الحيوانات هو زرافة	شيء ستجده في حديقة الحيوانات هو مخرطة	1
713	يمكن استخدام مسجل فيديو لشريط تلفزيوني	يمكن استخدام المشط لشريط تلفزيوني.	1
714	القطار سيغادر المطار خلال عشر دقائق	القطار سيغادر محطة السكة الحديد في عشر دقائق	0
715	ملأ حوض الاستحمام بالماء.	ملأ حوض الاستحمام بسيارة	1
716	يمكنك استخدام طاولة للعيش فيها	يمكنك استخدام منزل للعيش فيه	0
717	وضع جاك مجموعة الأوراق في مكتبه	وضع جاك مجموعة الحافلات في مكتبه	1
718	يذهب إلى صالة الألعاب الرياضية للقيام بتمارين اللياقة البدنية	يذهب إلى حانة للقيام بتمارين اللياقة البدنية	1
719	شغلت أمي التلفزيون مع جهاز التحكم عن بعد.	تحولت أمي إلى التلفزيون مثل الطوب.	1
720	الكيروسين ضروري للزراعة	الماء ضروري للزراعة	0
721	وضع جاك سيارته في الغسالة	وضع جاك سرواله في الغسالة	0
722	أخرج هذا الفيلم المخرج الشهير	أخرج هذا الفيلم السباك الشهير	1
723	أشعل النور منذ حلول الظلام	قام بتشغيل المروحة لأنها كانت مظلمة	1
724	قام بطباعة 400 كلمة في 10 دقائق بسيجارته الإلكترونية.	قام بطباعة 400 كلمة في 10 دقائق باستخدام لوحة مفاتيحه الإلكترونية.	0
725	قفز من الثلاجة للانتحار	قفز من المبنى للانتحار	0
726	يمكنك التلويح لشخص لتحية رسمياً	يمكنك استخدام الصافرة لتحية شخص رسمي	1
727	إن كسب المال هو عمل شاق لأي إنسان.	إن كسب المال أمر سخيف بالنسبة لأي إنسان.	1
728	توجد الأطباق على الطاولة.	تجلس الطاولة على الأطباق.	1
729	يحدث الموت عندما تتنفس ولكن لا تستيقظ أبدًا.	يحدث الموت عندما لا تتنفس.	0
730	يقرأ الطفل كتابا.	الببغاء يقرأ كتابا.	1
731	يريد أن يصبح رائد فضاء	يريد أن يصبح طفلاً	1
732	يمكن أن تكون القطط والكلاب زملاء	يمكن أن تكون القطط والأسماك أصدقاء	1
733	المحيط أكبر من بركة.	المحيط أكبر من الشمس.	1
734	يأكلون في المقهى.	وضعوا وحش في المقهى.	1
735	وضع الديدان على قائمته.	وضع التوابل على طعامه.	0
736	ذهب إلى محل بقالة لشراء بعض الفواكه.	ذهب إلى محل بقالة لشراء سيارة.	1
737	وضع الحليب في قهوته	وضع الخل في قهوته	1
738	الرئيس هو صانع القرار.	الرئيس هو صانع الجوكر.	1
739	أغلق عين واحدة يعني أنه أغلق كلتا العينين	أغلق إحدى العينين يعني أنه فتح العين الأخرى	0
740	نافاجا هي نوع من السكين	السيف هو نوع من السكين	1
741	لم يكن سعيدًا في وظيفته وقرر محاولة العثور على بعض أدوات المطبخ الجديدة.	لم يكن سعيدًا في وظيفته وقرر أن يحاول إيجاد مكان جديد للعمل.	0
742	التلفزيون مربع	التلفزيون مستطيل	0
743	عادة ينام الناس في المطبخ	عادة ينام الناس في غرفة النوم	0
744	أرسل العلماء الأقمار الصناعية في سيارة إلى الفضاء	أرسل العلماء الأقمار الصناعية في صاروخ إلى الفضاء	0
745	سوف تشتري الخضار من المسرح	سوف تشتري الخضار من السوق	0
746	الميكروويف هو جهاز اتصال	الهاتف هو جهاز اتصال	0
747	بينما كانت تشاهد النهر قالت سمكة لها البقاء بعيدا	بينما كانت تشاهد النهر رأت سمكة تقفز	0
748	نام في الفريزر	نام في السرير	0
749	آخر شيء تفعله عندما تأخذ دورة هو الحصول على مقدمة	آخر شيء تفعله عندما تأخذ دورة هو إجراء امتحان	0
750	تكتب سالي ورقتها الخاصة لتمرير الفصل.	سالي تأكل ورقتها الخاصة لتمرير الفصل.	1
751	أطفال يلعبون كرة القدم مع الكلب	أطفال يلعبون كرة القدم بالكرة	0
752	كان لديها حجر لتناول الطعام	كان لديها البطاطا للأكل	0
753	سقط الكلب في فنجان الشاي	سقطت ذبابة المنزل في فنجان الشاي	0
754	لقد ربح الكون كله.	لقد ربح للتو 100 دولار.	0
755	تحب سو ارتداء الصناديق على الشاطئ	تحب سو ارتداء الأحذية على الشاطئ	0
756	باربي فتاة روبوت.	باربي فتاة كنس.	0
757	تنمو النبات على بلوتو.	ينمو النبات على الأرض.	0
758	قاد طفل	انه يقود سيارة رائعة	0
759	أشعلت لنفسها سيجارة.	أشعلت لنفسها الحلوى.	1
760	سوزي تقص الشعر من أجل لقمة العيش.	سوزي تأكل الشعر لقمة العيش.	1
761	أخذ ملعقة لصداع	أخذ قرص للصداع	0
762	يمكنك استخدام سيارة للطيران	يمكنك استخدام سيارة للذهاب إلى الأماكن	0
763	أضع الكتب في الغسالة.	أضع الملابس في الغسالة.	0
764	عندما تكون مريضا تذهب للمحامي	عندما تكون مريضا تذهب للطبيب	0
765	اشترى شاحنة في محل بقالة محلي.	اشترى علبة تفاح من محل بقالة محلي.	0
766	يمكن لطفل استدعاء أن تنادي والدها بابا	يمكن لطفل استدعاء أن تنادي أخاها بابا	1
767	قراءة الكتب هي هواية شائعة جدًا	قتل الناس هي هواية شائعة جدًا	1
768	يتم استخدام طرق الصيد لاصطياد الدببة	يتم استخدام طرق الصيد لصيد الأسماك	0
769	أجهزة الكمبيوتر هي مكون يستخدم في إعداد الطعام	السكر هو عنصر يستخدم في إعداد الطعام	0
770	الطائرة تحلق بين الغيوم.	الطائرة تحلق بين الكواكب.	1
771	استخدم دراجته النارية لقطع الأعشاب.	استخدم جزازة العشب الخاص به لقطع الأعشاب	0
772	أكلت كومة من التوت على الفطور	أكلت كومة قذائف على الفطور	1
773	المشاهدة مهمة تعليمية.	الغناء مهمة تعليمية.	0
774	انها لا تستطيع تحمل الجوع ركضت الى مطعم	انها لا تستطيع تحمل الجوع ركضت إلى المستشفى	1
775	قام الأطباء بتأليف أغنية في الاستوديو	قام الموسيقيون بتأليف أغنية في استوديو	0
776	الكتب القديمة جيدة مثل الكتب الجديدة	الكتب القديمة أسوأ من الكتب الجديدة	1
777	يعيش المهر في الحظيرة.	يعيش يونيكورن في الحظيرة	1
778	تتحول الصودا المحفوظة في الشمس إلى طين.	تتحول الصودا المحفوظة في المجمد إلى سائل.	0
779	الماء من الحمام دافئ.	المياه من الحمام لزجة.	1
780	وضع الحمار الوحشي على الغسالة.	وضع ملابس متسخة في الغسالة.	0
781	عادة ما تقع الشوارب على الوجوه.	عادة ما توجد الرضفة على الوجوه.	1
782	أضع الفرن في السيارة.	أضع مقعد السيارة في السيارة.	0
783	زار طبيب بيطري لشراء لوحة	زار تاجر فنون لشراء لوحة	0
784	من المحتمل أن تجد غرفة في فندق في ولاية أيداهو.	من المرجح أن تجد غرفة في فندق بالقرب من منطقة وسط المدينة.	0
785	تحدثت كلبها في الشارع.	كانت تمشي مع كلبها في الشارع.	0
786	كانت كلاب الشوارع تلاحق قطة الحيوانات الأليفة	كانت القطة الأليفة تلاحق كلاب الشوارع	1
787	الدوري الاميركي للمحترفين هو دوري تنس	الدوري الاميركي للمحترفين هو دوري كرة سلة	0
788	الحالة: تشرب الويسكي الممزوج بالصودا.	الحالة: تشرب الويسكي الممزوج بالبنزين.	1
789	استخدم هاتفًا محمولًا للاتصال بسيارة الإسعاف.	استخدم لبنة لاستدعاء سيارة الإسعاف.	1
790	يذهب الناس إلى الجزار لقص شعرهم.	يذهب الناس إلى مصفف الشعر لقص شعرهم.	0
791	الموسيقى نشاط مهدئ.	الموسيقى نشاط تذوق	1
792	تناول الخضار	تناول أسماك القرش بدلاً من الخضار.	1
793	الهواء رائع في مصر	الهواء بارد للغاية في أنتاركتيكا	0
794	ذهب رواد الفضاء إلى الشمس.	ذهب رواد الفضاء إلى القمر.	0
795	يحتفظ ستانلي بجهاز الكمبيوتر الخاص به في جيبه في جميع الأوقات.	يحتفظ ستانلي بهاتفه في جيبه في جميع الأوقات.	0
796	تضع لحم الغداء في محمصة لتحميص الخبز.	تضع الخبز في محمصة لتحميص الخبز.	0
797	الفتاة حمامة في الوحل على الشاطئ.	الفتاة تغمر في مياه الشاطئ.	0
798	تستخدم السيارات أنواع مختلفة من الوقود	السيارات تستخدم وقود البنزين	1
799	تحتوي المحفظة على الدمى	تحتوي المحفظة على تذاكر	0
800	يحب الناس تدخين السجائر	يحب الناس تدخين الأشجار	1
801	كتب اسمه على الورقة البيضاء بقلم أزرق في يده اليمنى.	كتب اسمه على الورقة البيضاء مع الماء الأزرق في يده اليمنى.	1
802	يمكنك استخدام إصبع للتحذير.	يمكنك استخدام كرسي للتحذير.	1
803	العمل مهمة لا معنى لها في الحياة.	العمل مهمة فعالة في الحياة.	0
804	طائر كان يطير في السماء	كان الكلب يطير في السماء	1
805	يمكن لكلب واحد أن يأكل حوتًا كاملاً.	يمكن لكلب واحد أن يأكل دجاجة كاملة.	0
806	الفتاة تنطلق لسيارة.	الفتاة تبحث عن سيارة.	0
807	أنت بحاجة إلى خريطة للكتابة على جهاز الكمبيوتر	تحتاج إلى لوحة مفاتيح للكتابة على جهاز كمبيوتر	0
808	يتم طلاء الجدران دائمًا	لا يتم طلاء الجدران أبداً	1
809	يتم ارتداء الأحذية على اليدين	يتم ارتداء الأحذية على القدمين	0
810	يمكن أن تدمر النار مبنى	النسيم يمكن أن يدمر مبنى	1
811	قدت سيارتي في حقيبتي.	قدت سيارتي إلى مرآب منزلي.	0
812	يأكل من وعاء الحبوب	يأكل من وعاء البنزين	1
813	أقبّل الشمس كل قمر.	أقبّل فتاة كل صباح.	0
814	تجد مراقبين في مقبرة	تجد مقابر في مقبرة	0
815	تضع الطيور البيض.	الطيور تضع السيارات.	1
816	الأرانب حيوانات يمكنك ركوبها.	الخيول حيوانات يمكنك ركوبها.	0
817	ركب حصانه إلى ساحة البلدة	ركب وحيد قرنه إلى ساحة البلدة	1
818	الماء المغلي ساخن.	الماء المغلي بارد.	1
819	يحب أكل الأرز	يحب أكل المحفظة	1
820	حصلت سارة على ثلاثة شركاء في شقتها	حصلت سارة على ثلاثمائة رفيق في شقتها	1
821	سكبت الأشجار في فنجان.	سكبت الماء في فنجان.	0
822	دخلت الطائرة ساحة الطائرات	دخل الطائرة الى الحظيرة	1
823	قامت المرأة بطهي فستان لذيذ.	طهت المرأة وجبة لذيذة.	0
824	السباحة شيء يمكن لأي شخص القيام به.	الابتسام شيء يمكن لأي شخص القيام به.	0
825	الصوت مناسب لأذنيك.	الصوت مناسب لشعرك.	1
826	تقبل طفلها كل ليلة.	تقبل ثعابينها كل ليلة	1
827	الجد دائمًا هم آباء أحدهم.	المرأة هي دائما والد شخص.	1
828	غرق الميكانيكي سيارتي بينما كانت في المحل.	قام الميكانيكي بإصلاح سيارتي أثناء وجودها في المتجر.	0
829	عندما يكون هناك حادث خطير ، اتصل برقم 911	عندما يكون هناك حادث خطير ، اتصل برقم 922	1
